langsrc,langdst,comment
HOME,thuis,home
AUTH_FAIL,authenticatie mislukt,Authentifizierungsfehler
INVALID_CREDENTIAL,ongeldige referentie,Falsche Eingabe
LOGIN,login,Connexion
LOGOUT,logout, de deco
LOGIN_LABEL,instappen,Se connecter
USERS,gebruikers,users
USERS_EDIT_TITLE,gebruiker bewerken,User edit title
CHANGE_PASSWORD,wachtwoord wijzigen,password change
USER_ACOUNT_MANAGEMENT,gebruikersaccountmanager,user management title
EMAIL,e-mail,Email
LOST_PASSWORD,wachtwoord verloren,Mot de passe perdu
PASSWORD,wachtwoord,Mot de passe
WELCOME_TO,welkom bij,Bienvenue sur
PROPULSED_BY,voortgestuwd door,Propulsé par
PERMISSIONS,toestemmingen,Acl
LANG,taal,menu langue
TRAIN,trein,lignes train idf
DATABASE,databank,base de données
SENSORS,sensors,sensors
CRITERIAS,criteria,Critères
COLUMNS,kolommen,Colonnes
